organization,url
Confédération Africaine de Football,https://www.cafonline.com/inside-caf/about-us/caf-president/
Confédération Africaine de Football,https://www.cafonline.com/en/inside-caf/about-us/legal/legal-bodies/
"Confederation of North, Central America and Caribbean Association Football",https://www.concacaf.com/inside-concacaf/about-concacaf/concacaf-council/
"Confederation of North, Central America and Caribbean Association Football",https://www.concacaf.com/inside-concacaf/about-concacaf/concacaf-general-secretary/
"Confederation of North, Central America and Caribbean Association Football",https://www.concacaf.com/inside-concacaf/about-concacaf/standing-committees
Fédération Equestre Internationale,https://inside.fei.org/fei/about-fei/structure/fei-board
Fédération Equestre Internationale,https://inside.fei.org/fei/about-fei/structure/executive-board/executive-board
Fédération Equestre Internationale,https://inside.fei.org/fei/about-fei/structure/fei-headquarters/governance
Fédération Internationale de Football Association,https://inside.fifa.com/organisation/fifa-council
Fédération Internationale de Football Association,https://inside.fifa.com/organisation/secretary-general
Fédération Internationale de Football Association,https://inside.fifa.com/organisation/committees
Fédération Internationale de Gymnastique,https://www.gymnastics.sport/site/pages/about-ec.php
Fédération Internationale de Gymnastique,https://www.gymnastics.sport/site/pages/about-council.php
Fédération Internationale de Gymnastique,https://www.gymnastics.sport/site/governance.php
Fédération Internationale de l'Automobile,https://www.fia.com/officers
Fédération Internationale de l'Automobile,https://www.fia.com/world-motor-sport-council
Fédération Internationale de l'Automobile,https://www.fia.com/presidency
Fédération Internationale de Motocyclisme,https://www.fim-moto.com/en/fim/board-of-directors
Fédération Internationale de Volleyball,https://www.fivb.com/inside-fivb/fivb/structure/board-of-administration/
Fédération Internationale de Volleyball,https://www.fivb.com/inside-fivb/fivb/structure/executive-committee/
Fédération Internationale de Volleyball,https://www.fivb.com/inside-fivb/fivb/structure/
International Basketball Federation,https://about.fiba.basketball/en/organization/structure/central-board
International Basketball Federation,https://about.fiba.basketball/en/organization/structure/executive-committee
International Basketball Federation,https://about.fiba.basketball/en/organization/structure/our-governance
International Boxing Association,https://www.iba.sport/about-iba/organizational-structure/iba-board-of-directors/
International Boxing Association,https://www.iba.sport/about-iba/organizational-structure/staff/
International Boxing Association,https://www.iba.sport/about-iba/governance-and-integrity/
International Canoe Federation,https://www.canoeicf.com/icf-structure
International Canoe Federation,https://www.canoeicf.com/committee
International Cricket Council,https://www.icc-cricket.com/about/the-icc/structure/board
International Cricket Council,https://www.icc-cricket.com/about/the-icc/structure/committees
International Cricket Council,https://www.icc-cricket.com/about/the-icc/structure/chairman
International Golf Federation,https://www.igfgolf.org/administrative-committee
International Golf Federation,https://www.igfgolf.org/about/governance
International Handball Federation,https://www.ihf.info/about/committee
International Handball Federation,https://www.ihf.info/about/council/all
International Hockey Federation,https://www.fih.hockey/about-fih/executive-board
International Hockey Federation,https://www.fih.hockey/about-fih/team-fih
International Hockey Federation,https://www.fih.hockey/about-fih/committee-panel
International Ice Hockey Federation,https://www.iihf.com/en/statichub/4628/council
International Judo Federation,https://www.ijf.org/ijf/organisation
International Judo Federation,https://www.ijf.org/ijf/commissions
International Olympic Committee,https://www.olympics.com/ioc/executive-board
International Olympic Committee,https://www.olympics.com/ioc/members
International Olympic Committee,https://www.olympics.com/ioc/directors
International Paralympic Committee,https://www.paralympic.org/ipc-governing-board
International Paralympic Committee,https://www.paralympic.org/management-team
International Paralympic Committee,https://www.paralympic.org/ipc-bodies
International Shooting Sport Federation,https://issf-sports.org/theissf/organisation/administrative_council.ashx
International Skating Union,https://www.isu.org/meet-the-team/
International Skating Union,https://www.isu.org/isu-council/
International Ski and Snowboard Federation,https://www.fis-ski.com/inside-fis/governance/council
International Table Tennis Federation,https://www.ittf.com/committees/committee-members/
International Table Tennis Federation,https://www.ittf.com/governance/
International Tennis Federation,https://www.itftennis.com/en/about-us/organisation/company-structure/
International Tennis Federation,https://www.itftennis.com/en/about-us/governance/committees-and-commissions/
International Weightlifting Federation,https://iwf.sport/focus-on-iwf/executive-board/
International Weightlifting Federation,https://iwf.sport/focus-on-iwf/secretariat/
Oceania Football Confederation,https://www.oceaniafootball.com/governance/executive-committee/
Olympic Council of Asia,https://oca.asia/council/executive-board/
Pan American Sports Organization,https://www.panamsports.org/en/about-panamsports/executive-committee/
SportAccord,https://www.sportaccord.sport/executive-committee/
SportAccord,https://www.sportaccord.sport/team/
Union Cycliste Internationale,https://www.uci.org/members-mangement-committee/7zYeHYG0yhUYhW8zOWWhZL
Union Cycliste Internationale,https://www.uci.org/management-committee/2aaJY7PhhuJUt4ixUsgjiy
Union of European Football Associations,https://www.uefa.com/about/how-we-work/executive-committee/
Union of European Football Associations,https://www.uefa.com/insideuefa/about-uefa/administration/
World Aquatics,https://www.worldaquatics.com/structure/bureau
World Aquatics,https://www.worldaquatics.com/structure/executive
World Archery Federation,https://www.worldarchery.sport/about-us/organisation/executive-board
World Archery Federation,https://www.worldarchery.sport/about-us/organisation/committees
World Archery Federation,https://www.worldarchery.sport/about-us/organisation
World Athletics,https://worldathletics.org/about-iaaf/structure/council
World Athletics,https://worldathletics.org/about-iaaf/structure/executive-board
World Baseball Softball Confederation,https://www.wbsc.org/en/organisation/leadership/executive-board
World Baseball Softball Confederation,https://www.wbsc.org/en/organisation/leadership
